type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,0,1,2,3,4
CASH_OUT,140421.18,C1667570766,16004.0,0.0,C2102410298,0.0,140421.18,0,0,1,0,0,0,0.014042118,0.00027922270891632514,0.0,0.0,0.001334261502270352
CASH_OUT,216666.53,C1495945377,50398.0,0.0,C814408370,10119297.16,10335963.7,0,0,1,0,0,0,0.021666652999999998,0.0008792968060462981,0.0,0.09602977662784233,0.0982108144495996
CASH_OUT,234636.2,C269129885,74262.0,0.0,C1389815469,166046.48,400682.68,0,0,1,0,0,0,0.02346362,0.0012956533872496962,0.0,0.0015757424781702419,0.0038072281870192995
CASH_IN,52816.29,C129678616,117751.0,170567.29,C842027837,0.0,0.0,0,1,0,0,0,0,0.0052816289999999995,0.0020544084727322047,0.0036048349519580167,0.0,0.0
CASH_OUT,63871.25,C1282823885,6012.0,0.0,C1236511065,456488.36,520359.6,0,0,1,0,0,0,0.006387125,0.00010489170994782222,0.0,0.0043319683720020406,0.004944380766610845
CASH_OUT,258925.05,C1204988090,368.0,0.0,C1536014079,177411.74,436336.78,0,0,1,0,0,0,0.025892504999999996,6.420517175781533e-06,0.0,0.0016835961523791086,0.004146008227381426
CASH_OUT,372274.74,C56106669,69937.0,0.0,C1696566918,363379.39,735654.13,0,0,1,0,0,0,0.037227473999999997,0.0012201948633767203,0.0,0.0034483859008308444,0.006990077883159712
CASH_IN,111091.45,C1373122979,281384.0,392475.45,C1743804912,0.0,0.0,0,1,0,0,0,0,0.011109144999999999,0.00490932283964704,0.008294727669915205,0.0,0.0
CASH_IN,260353.49,C803657067,30439.0,290792.49,C1487654592,0.0,0.0,0,1,0,0,0,0,0.026035349,0.0005310709845478644,0.006145720740001802,0.0,0.0
TRANSFER,523047.76,C2107850581,30337.0,0.0,C1178133075,0.0,523047.76,0,0,0,0,0,1,0.052304776,0.0005292913846784901,0.0,0.0,0.004969923269529159
CASH_IN,161253.07,C1053686586,31906.0,193159.07,C1708145470,2152549.66,1991296.6,0,1,0,0,0,0,0.016125307,0.000556665817963276,0.004082298351716236,0.020427195660112227,0.018921008874742715
CASH_OUT,196744.3,C780697705,416464.0,219719.7,C2106419122,0.0,196744.3,0,0,1,0,0,0,0.019674429999999996,0.007266071372539892,0.004643640959493054,0.0,0.0018694355458423637
CASH_OUT,165387.99,C937182558,123441.0,0.0,C1877817663,1411017.51,1576405.5,0,0,1,0,0,0,0.016538799,0.002153682230151218,0.0,0.013390228012957599,0.014978774360230027
CASH_OUT,86833.18,C1398902119,146.0,0.0,C532552287,0.0,86833.18,0,0,1,0,0,0,0.008683317999999999,2.5472704012611515e-06,0.0,0.0,0.000825076168664242
CASH_OUT,41439.42,C35956762,29542.0,0.0,C887144586,42041.73,83481.15,0,0,1,0,0,0,0.004143941999999999,0.0005154209739318969,0.0,0.0003989662401561551,0.0007932256701607022
CASH_OUT,106817.99,C1757805567,20478.0,0.0,C1517191295,0.0,106817.99,0,0,1,0,0,0,0.010681799,0.0003572808443631908,0.0,0.0,0.0010149689085855813
PAYMENT,1826.57,C1038525708,11538.0,9711.43,M1647517026,0.0,0.0,0,0,0,0,1,0,0.000182657,0.0002013041499298025,0.00020524511058066082,0.0,0.0
